ID 3,Name,semi major axis (AU),eccentricity of the orbit,inclination of the orbit wrt J2000 ecliptic plane,longitude of the ascending node,argument of the perihelion (J2000 ecliptic),perihelion distance (comets only),aphelion distance (AU),period (years),data-arc span,codition code,# observations used (total),# of delay radar observations,# of Doppler radar observations used in fit,absolute magnitude,diameter (from equivalent sphere),object bi/tri axial ellipsoid dimensions,geometric albedo,rotation period,mass expressed as product of mass and gravity,color index BV,color index UB,color index IR,spectral taxonomic type (SMASSII),spectral taxonomic type (Tholen)
id,full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T
a0000195,195 Eurykleia,2.876918785,0.043834901,6.966154593,7.061874762,121.6028455,2.750809334,3.003028237,4.879772838,47441,0,1480,,,9.01,85.71,,0.0599,16.521,,0.704,0.387,,Ch,C
a0000196,196 Philomela,3.11200856,0.019766396,7.260240679,72.5260449,198.2102572,3.050495366,3.173521754,5.489962483,49177,0,1671,,,6.54,136.39,,0.2299,8.334,,0.852,0.451,,S,S
a0000197,197 Arete,2.738350497,0.163569619,8.79466121,81.61657973,246.5546428,2.29043955,3.186261445,4.531497608,49254,0,1676,,,9.18,29.18,,0.4417,6.6084,,0.908,0.496,,S,S
a0000198,198 Ampella,2.458692587,0.228336178,9.313927292,268.4658925,88.53544576,1.897284118,3.020101056,3.855356562,42077,0,1085,,,8.33,57.16,,0.2517,10.379,,0.885,0.421,,S,S
a0000200,200 Dynamene,2.737466245,0.133717628,6.895882521,324.5820524,85.12610379,2.371418752,3.103513738,4.529302858,49176,0,1198,,,8.26,128.36,,0.0533,37.394,,0.727,0.375,,Ch,C
a0000201,201 Penelope,2.677329844,0.181216258,5.75799259,157.0332068,181.019127,2.192154149,3.162505538,4.380876606,49182,0,1459,,,8.43,68.39,,0.1604,3.7474,,0.72,0.233,,X,M
a0000202,202 Chryseis,3.070662509,0.101673654,8.854649951,136.8465188,1.131362204,2.758457032,3.382867985,5.380917482,48923,0,1144,,,7.42,86.15,,0.2562,23.67,,0.875,0.475,,,S
a0000203,203 Pompeja,2.737759164,0.059006412,3.177823268,347.9239652,57.0146211,2.576213818,2.899304509,4.530029854,48795,0,1356,,,8.76,116.25,,0.041,24.052,,0.702,0.293,,,DCX:
a0000204,204 Kallisto,2.670808931,0.17479833,8.284699571,205.1241187,55.58131925,2.20395599,3.137661873,4.364881242,48870,0,1357,,,8.89,48.57,,0.2082,19.489,,0.813,0.415,,,S
a0000205,205 Martha,2.776766537,0.033921692,10.68395951,211.9206524,175.451835,2.682573918,2.870959156,4.627189148,49051,0,1288,,,9.23,80.58,,0.0553,14.912,,0.688,0.35,,Ch,C
a0000206,206 Hersilia,2.741193323,0.037815459,3.778293274,145.1732348,299.2428798,2.637533838,2.844852808,4.538556018,48826,0,1457,,,8.68,113,,,11.128,,0.69,0.345,,C,C
a0000207,207 Hedda,2.283543097,0.029715983,3.802983919,29.24351065,193.6093523,2.215685368,2.351400825,3.45081773,46923,0,1358,,,9.92,58.7,,0.0552,30.098,,0.722,0.389,,Ch,C
a0000208,208 Lacrimosa,2.892562126,0.013647581,1.745804408,4.265716158,108.3842767,2.853085649,2.932038603,4.919627782,41306,0,1610,,,8.96,41.33,,0.2696,14.085,,0.841,0.407,,Sk,S
a0000209,209 Dido,3.144666766,0.060399951,7.1697945,0.740748297,249.5700304,2.954729048,3.334604485,5.576608402,49049,0,1403,,,8.24,159.94,,0.0349,5.7366,,0.691,0.294,,Xc,C
a0000210,210 Isabella,2.722044139,0.121049106,5.255929906,32.65264965,14.64402977,2.392543129,3.051545149,4.49108161,46968,0,1281,,,9.33,86.65,,0.0436,6.672,,0.667,0.248,,Cb,CF
a0000211,211 Isolda,3.040028075,0.162007337,3.887228971,263.650752,173.518656,2.547521224,3.532534927,5.30059465,49009,0,1364,,,7.89,143.19,,0.0602,18.365,,0.711,0.364,,Ch,C
a0000212,212 Medea,3.11751091,0.10536011,4.263636857,313.488965,100.8086004,2.789049618,3.445972201,5.50452914,48673,0,1299,,,8.28,136.12,,0.0465,10.283,,0.704,0.286,,,DCX:
a0000213,213 Lilaea,2.752843636,0.146159526,6.802791862,122.1155682,162.5608964,2.350489315,3.155197956,4.567520632,48629,0,1421,,,8.64,83.01,,0.0897,8.045,,0.65,0.221,,B,F
a0000214,214 Aschera,2.611815595,0.031851012,3.435169925,342.0184975,133.7013923,2.528626625,2.695004566,4.221064305,48950,0,1473,,,9.2,23.16,,0.522,6.835,,0.7,0.217,,Xc,E
a0000215,215 Oenone,2.76659128,0.036461465,1.68589105,25.01360294,316.6827618,2.665717309,2.867465252,4.601778471,39604,0,1559,,,9.4,35.51,,0.2044,27.937,,0.845,0.451,,,S
a0000216,216 Kleopatra,2.796815213,0.249175002,13.09649678,215.4624782,180.3140206,2.099918776,3.49371165,4.677393009,48923,0,2180,1,0,7.3,124,217x94x81,0.1164,5.385,,0.713,0.238,,Xe,M
a0000217,217 Eudora,2.872425181,0.307612249,10.50067238,162.6022461,155.1091971,1.988832011,3.75601835,4.868344359,46910,0,1412,,,9.8,66.24,,0.0484,25.272,,,,,,X
a0000218,218 Bianca,2.666890913,0.116450165,15.19957201,170.6431657,62.98355457,2.356331027,2.977450799,4.355279986,44042,0,1159,,,8.6,60.62,,0.1746,6.337,,0.859,0.443,,,S
a0000219,219 Thusnelda,2.353973103,0.223015951,10.84554212,200.9182215,142.1906631,1.828999553,2.878946653,3.611689832,41950,0,1347,,,9.32,40.56,,0.2009,29.842,,0.905,0.482,,,S
a0000220,220 Stephania,2.347691317,0.258648673,7.590121551,257.99385,78.46972378,1.740464073,2.954918562,3.597242311,30336,0,1205,,,11.1,31.12,,0.0726,18.198,,,,,,XC
a0000221,221 Eos,3.010385081,0.104536443,10.87997922,141.8521912,193.859744,2.695690132,3.325080031,5.22325564,46915,0,1230,,,7.67,103.87,,0.14,10.443,,0.768,0.41,,K,S
a0000222,222 Lucia,3.145202177,0.133918973,2.153916547,80.31377027,179.7730009,2.723999931,3.566404423,5.57803267,42033,0,1895,,,9.13,54.66,,0.1318,7.8,,0.688,0.395,,,BU
a0000223,223 Rosa,3.096316728,0.11613336,1.935546071,47.9431686,61.52409467,2.736731064,3.455902392,5.448491416,46652,0,1593,,,9.68,87.61,,0.0309,20.283,,0.706,0.285,,,X
a0000224,224 Oceana,2.646374249,0.043741151,5.837351564,352.8663707,282.4168758,2.530618793,2.762129705,4.305118352,42035,0,1328,,,8.59,61.82,,0.1694,9.401,,0.748,0.201,,,M
a0000225,225 Henrietta,3.391403732,0.264033469,20.86869057,197.10737,104.3040062,2.49595964,4.286847825,6.24564712,43223,0,1242,,,8.72,120.49,,0.0396,7.3556,,0.648,0.282,,,F
a0000226,226 Weringia,2.716565374,0.20247346,15.95682807,134.9747081,153.5786113,2.166532982,3.266597765,4.477529371,47177,0,1279,,,9.9,33.83,,0.2035,11.147,,,,,S,
a0000227,227 Philosophia,3.164878559,0.190830482,9.152850993,326.2523851,266.7384901,2.560923256,3.768833861,5.630458703,38773,0,1425,,,9,87.31,,0.0768,18.048,,,,,,
a0000228,228 Agathe,2.202519628,0.241173527,2.537327553,313.3733886,18.93637711,1.671330202,2.733709054,3.268796492,39608,0,1420,,,12.48,9.3,,0.2082,6.484,,0.918,0.596,,S,S
a0000229,229 Adelinda,3.423443597,0.13941927,2.078610392,28.05938279,311.4893353,2.94614959,3.900737604,6.334363294,46887,0,1533,,,9.13,93.2,,0.0453,6.6,,0.708,0.253,,,BCU
a0000230,230 Athamantis,2.382470667,0.061646962,9.443222792,239.9174008,138.9791017,2.235598587,2.529342747,3.677473448,47303,0,1691,,,7.35,108.99,,0.1708,24.0055,,0.871,0.44,,Sl,S
a0000231,231 Vindobona,2.926297227,0.152741167,5.093046402,350.6360265,267.8256176,2.479331173,3.373263282,5.005942489,47172,0,1205,,,9.5,82.33,,0.0545,14.245,,,,,,
a0000232,232 Russia,2.552703097,0.174219779,6.065455463,152.2560967,52.07693273,2.107971726,2.997434468,4.078576947,36721,0,1208,,,10.25,53.28,,0.0494,21.91,,0.709,0.366,,,C
a0000233,233 Asterope,2.660470856,0.100951954,7.682242097,222.0312515,125.174624,2.391891124,2.929050588,4.339562634,42340,0,1367,,,8.21,102.78,,0.087,19.7,,0.775,0.321,,K,T
a0000234,234 Barbara,2.386321109,0.244837222,15.37135003,144.550268,192.3507824,1.802060877,2.97058134,3.686392099,47189,0,3030,,,9.02,43.75,,0.2276,26.468,,0.897,0.488,,Ld,S
a0000235,235 Carolina,2.882023283,0.063098052,9.02884126,66.04778844,209.8081593,2.700173228,3.063873339,4.89276582,47251,0,1306,,,8.8,57.58,,0.158,17.61,,0.897,0.541,,,S
a0000236,236 Honoria,2.800681285,0.189052431,7.685964028,185.8870203,174.9855194,2.271205679,3.330156891,4.687094785,47454,0,1276,,,8.18,86.2,,0.1271,12.333,,0.852,0.444,,L,S
a0000237,237 Coelestina,2.762111887,0.073170228,9.74799275,84.366079,199.5345581,2.560007531,2.964216243,4.590606874,47127,0,1145,,,9.24,41.08,,0.2108,29.215,,0.787,0.413,,S,S
a0000238,238 Hypatia,2.906786151,0.086408438,12.39305802,183.9531638,209.7682848,2.655615299,3.157957002,4.95596038,44477,0,1321,,,8.18,148.49,,0.0428,8.8745,,0.739,0.383,,Ch,C
a0000239,239 Adrastea,2.970703462,0.233525098,6.165919868,180.6581694,210.4597392,2.276969644,3.664437281,5.120320617,47342,0,1439,,,10.4,41.52,,0.0777,18.4707,,,,,,
a0000240,240 Vanadis,2.665961589,0.205801903,2.104285605,115.1920709,300.0898318,2.117301622,3.214621557,4.353003678,47084,0,1508,,,9,103.9,,0.0411,10.64,,0.705,0.368,,C,C
a0000241,241 Germania,3.054917811,0.099625485,5.508572818,270.4793278,80.53696535,2.750570142,3.359265479,5.339584922,47252,0,1257,,,7.58,168.9,,0.0575,15.51,,0.689,0.289,,B,CP
a0000242,242 Kriemhild,2.863463475,0.119248609,11.34802938,206.9493268,279.4785843,2.521999438,3.204927511,4.845578949,46930,0,1377,,,9.2,38.9,,0.244,4.5478,,,,,Xc,
a0000243,243 Ida,2.862471602,0.041485093,1.132233661,324.0284583,110.3175724,2.743721701,2.981221504,4.843061483,46911,0,2209,,,9.94,32,59.8x25.4x18.6,0.2383,4.634,0.00275,0.802,0.416,,S,S
a0000244,244 Sita,2.174078206,0.137665175,2.844118055,208.9925402,166.1647547,1.874783348,2.473373063,3.205685744,47201,0,1586,,,11.9,10.95,,0.1941,129.51,,,,,Sa,
a0000245,245 Vera,3.099634762,0.193688843,5.159102193,61.40532134,328.9492425,2.499270092,3.699999431,5.457251719,46952,0,1083,,,7.82,79.5,,0.2082,14.38,,0.841,0.476,,S,S
a0000246,246 Asporina,2.694157211,0.10938027,15.6244098,162.3528949,96.76477701,2.399469568,2.988844855,4.422243007,47147,0,1297,,,8.62,60.1,,0.1744,16.222,,0.99,0.602,,A,A
a0000247,247 Eukrate,2.742617685,0.242662549,24.98708259,0.170574563,54.82129156,2.077087087,3.408148282,4.542093921,46452,0,847,,,8.04,134.43,,0.0595,12.093,,0.691,0.295,,Xc,CP
a0000248,248 Lameia,2.470867107,0.066712583,4.058357195,246.8755479,11.33874509,2.306029179,2.635705035,3.884027394,46773,0,1433,,,10.2,48.66,,0.0615,12,,0.83,0.34,,,
a0000249,249 Ilse,2.377575305,0.216159079,9.621224744,334.7466798,42.09875535,1.863640818,2.891509793,3.666144886,46328,0,1126,,,11.33,34.83,,0.0428,85.24,,0.75,0.33,,,
a0000250,250 Bettina,3.146220865,0.13129596,12.81499987,23.88683339,76.35355962,2.733134776,3.559306954,5.580742863,46784,0,1015,,,7.58,79.75,,0.2581,5.0545,,0.728,0.262,,Xk,M
a0000251,251 Sophia,3.096431199,0.099688939,10.50971168,156.1667076,285.7186622,2.787751258,3.405111139,5.448793563,46940,0,1368,,,9.8,28.42,,0.2188,20.216,,,,,,
a0000252,252 Clementina,3.159691409,0.070268003,10.04253786,202.0507117,155.8089929,2.937666203,3.381716616,5.616622124,46697,0,1266,,,9.6,69.29,,0.0843,10.864,,,,,,
a0000253,253 Mathilde,2.646984262,0.265991093,6.740732803,179.6073795,157.2865326,1.942910026,3.351058499,4.306606991,46622,0,2250,1,0,10.3,52.8,,0.0436,417.7,0.00689,,,,Cb,
a0000254,254 Augusta,2.194406155,0.122287578,4.512356705,28.49946769,233.1788678,1.926057541,2.462754769,3.250751124,46546,0,1349,,,12.13,12.11,,0.1695,6,,0.845,0.505,,,S
a0000255,255 Oppavia,2.7466756,0.077153877,9.470588329,13.68301978,155.6630059,2.534758929,2.95859227,4.552178219,46750,0,1366,,,10.39,57.4,,0.0374,19.499,,0.764,0.275,,,X
a0000256,256 Walpurga,2.998298582,0.068831243,13.31078269,183.0226832,47.36655942,2.791921965,3.2046752,5.191830691,46701,0,1281,,,9.8,63.34,,0.053,16.664,,,,,,
a0000257,257 Silesia,3.120947767,0.112084233,3.634588243,34.3754038,27.447168,2.771138732,3.470756802,5.513634239,46474,0,1344,,,9.47,72.66,,0.0545,15.7095,,0.761,0.384,,Ch,SCTU
a0000258,258 Tyche,2.615541313,0.204687796,14.29783615,207.646049,154.6830907,2.080171925,3.150910701,4.230099457,46392,0,1236,,,8.5,64.78,,0.1676,10.041,,0.876,0.459,,S,S
a0000259,259 Aletheia,3.134630472,0.127454521,10.81475199,86.8706755,168.1081718,2.735107646,3.534153298,5.549932854,42185,0,1200,,,7.76,178.6,,0.0436,8.143,,0.698,0.311,,X,CP
a0000260,260 Huberta,3.446485957,0.115682447,6.415081393,165.3897416,181.2294546,3.047788027,3.845183887,6.398423356,36397,0,1461,,,8.97,94.67,,0.0509,8.29,,0.714,0.306,,,CX:
a0000261,261 Prymno,2.331835649,0.088989076,3.636216373,96.6621497,66.10656565,2.124327748,2.539343549,3.560861716,35090,0,1229,,,9.44,50.93,,0.1141,8.002,,0.7,0.299,,X,B
a0000263,263 Dresda,2.886103736,0.075257224,1.313951188,216.4873536,160.3102106,2.668903581,3.103303891,4.903160478,42337,0,1831,,,10.2,23.24,,0.2263,16.809,,,,,S,
